T16,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
748,Eswatini,2015,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2019,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2020,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,1985,Balance of Payments: Financial account (millions of US dollars),-27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,1995,Balance of Payments: Financial account (millions of US dollars),49,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2010,Balance of Payments: Financial account (millions of US dollars),-318,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2015,Balance of Payments: Financial account (millions of US dollars),179,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2019,Balance of Payments: Financial account (millions of US dollars),125,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
748,Eswatini,2020,Balance of Payments: Financial account (millions of US dollars),103,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1985,Balance of Payments: Current account (millions of US dollars),106,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1995,Balance of Payments: Current account (millions of US dollars),39,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2010,Balance of Payments: Current account (millions of US dollars),-635,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2015,Balance of Payments: Current account (millions of US dollars),"-7,567",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2019,Balance of Payments: Current account (millions of US dollars),"-5,025",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2020,Balance of Payments: Current account (millions of US dollars),"-2,719",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1995,Balance of Payments: Capital account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1985,Balance of Payments: Financial account (millions of US dollars),-63,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,1995,Balance of Payments: Financial account (millions of US dollars),-72,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2010,Balance of Payments: Financial account (millions of US dollars),"-3,262",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2015,Balance of Payments: Financial account (millions of US dollars),"-7,638",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2019,Balance of Payments: Financial account (millions of US dollars),"-3,255",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
231,Ethiopia,2020,Balance of Payments: Financial account (millions of US dollars),"-4,624",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
234,Faroe Islands,2010,Balance of Payments: Current account (millions of US dollars),144,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1985,Balance of Payments: Current account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1995,Balance of Payments: Current account (millions of US dollars),-113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2010,Balance of Payments: Current account (millions of US dollars),-149,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2015,Balance of Payments: Current account (millions of US dollars),-163,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2019,Balance of Payments: Current account (millions of US dollars),-689,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2020,Balance of Payments: Current account (millions of US dollars),-576,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2021,Balance of Payments: Current account (millions of US dollars),-597,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1995,Balance of Payments: Capital account (millions of US dollars),116,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2010,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2015,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2019,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2020,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2021,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1985,Balance of Payments: Financial account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,1995,Balance of Payments: Financial account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2010,Balance of Payments: Financial account (millions of US dollars),221,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2015,Balance of Payments: Financial account (millions of US dollars),-88,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2019,Balance of Payments: Financial account (millions of US dollars),-553,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2020,Balance of Payments: Financial account (millions of US dollars),-364,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
242,Fiji,2021,Balance of Payments: Financial account (millions of US dollars),-289,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1985,Balance of Payments: Current account (millions of US dollars),-806,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1995,Balance of Payments: Current account (millions of US dollars),"5,231",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2010,Balance of Payments: Current account (millions of US dollars),"2,792",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2015,Balance of Payments: Current account (millions of US dollars),"-2,209",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2019,Balance of Payments: Current account (millions of US dollars),-879,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2020,Balance of Payments: Current account (millions of US dollars),"2,268",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2021,Balance of Payments: Current account (millions of US dollars),"2,115",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1995,Balance of Payments: Capital account (millions of US dollars),66,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2010,Balance of Payments: Capital account (millions of US dollars),234,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2015,Balance of Payments: Capital account (millions of US dollars),174,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2019,Balance of Payments: Capital account (millions of US dollars),210,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2020,Balance of Payments: Capital account (millions of US dollars),228,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2021,Balance of Payments: Capital account (millions of US dollars),213,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1985,Balance of Payments: Financial account (millions of US dollars),-849,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,1995,Balance of Payments: Financial account (millions of US dollars),"3,913",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2010,Balance of Payments: Financial account (millions of US dollars),"4,364",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2015,Balance of Payments: Financial account (millions of US dollars),-476,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2019,Balance of Payments: Financial account (millions of US dollars),"-9,694",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2020,Balance of Payments: Financial account (millions of US dollars),-863,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
246,Finland,2021,Balance of Payments: Financial account (millions of US dollars),-572,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1985,Balance of Payments: Current account (millions of US dollars),-35,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1995,Balance of Payments: Current account (millions of US dollars),"10,840",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2010,Balance of Payments: Current account (millions of US dollars),"-22,031",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2015,Balance of Payments: Current account (millions of US dollars),"-9,130",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2019,Balance of Payments: Current account (millions of US dollars),"-8,213",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2020,Balance of Payments: Current account (millions of US dollars),"-49,060",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2021,Balance of Payments: Current account (millions of US dollars),"-17,669",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1995,Balance of Payments: Capital account (millions of US dollars),442,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2010,Balance of Payments: Capital account (millions of US dollars),"1,636",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2015,Balance of Payments: Capital account (millions of US dollars),"-1,110",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2019,Balance of Payments: Capital account (millions of US dollars),"2,264",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2020,Balance of Payments: Capital account (millions of US dollars),"2,300",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2021,Balance of Payments: Capital account (millions of US dollars),"13,382",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1985,Balance of Payments: Financial account (millions of US dollars),256,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,1995,Balance of Payments: Financial account (millions of US dollars),"8,230",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2010,Balance of Payments: Financial account (millions of US dollars),774,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2015,Balance of Payments: Financial account (millions of US dollars),"-1,229",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2019,Balance of Payments: Financial account (millions of US dollars),"-22,263",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2020,Balance of Payments: Financial account (millions of US dollars),"-58,847",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
250,France,2021,Balance of Payments: Financial account (millions of US dollars),"-56,479",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2010,Balance of Payments: Current account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2015,Balance of Payments: Current account (millions of US dollars),291,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2010,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2010,Balance of Payments: Financial account (millions of US dollars),-119,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
258,French Polynesia,2015,Balance of Payments: Financial account (millions of US dollars),315,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1985,Balance of Payments: Current account (millions of US dollars),-162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1995,Balance of Payments: Current account (millions of US dollars),515,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2010,Balance of Payments: Current account (millions of US dollars),"2,453",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2015,Balance of Payments: Current account (millions of US dollars),141,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1995,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2010,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2015,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1985,Balance of Payments: Financial account (millions of US dollars),-225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,1995,Balance of Payments: Financial account (millions of US dollars),287,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2010,Balance of Payments: Financial account (millions of US dollars),"1,121",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
266,Gabon,2015,Balance of Payments: Financial account (millions of US dollars),585,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1985,Balance of Payments: Current account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1995,Balance of Payments: Current account (millions of US dollars),-8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2010,Balance of Payments: Current account (millions of US dollars),18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2015,Balance of Payments: Current account (millions of US dollars),-54,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2019,Balance of Payments: Current account (millions of US dollars),-37,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2020,Balance of Payments: Current account (millions of US dollars),-87,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2021,Balance of Payments: Current account (millions of US dollars),-94,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2010,Balance of Payments: Capital account (millions of US dollars),38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2015,Balance of Payments: Capital account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2019,Balance of Payments: Capital account (millions of US dollars),69,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2020,Balance of Payments: Capital account (millions of US dollars),95,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2021,Balance of Payments: Capital account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1985,Balance of Payments: Financial account (millions of US dollars),-4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,1995,Balance of Payments: Financial account (millions of US dollars),-22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2010,Balance of Payments: Financial account (millions of US dollars),36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2015,Balance of Payments: Financial account (millions of US dollars),-93,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2019,Balance of Payments: Financial account (millions of US dollars),-4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2020,Balance of Payments: Financial account (millions of US dollars),-91,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
270,Gambia,2021,Balance of Payments: Financial account (millions of US dollars),-10,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2010,Balance of Payments: Current account (millions of US dollars),"-1,199",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2015,Balance of Payments: Current account (millions of US dollars),"-1,767",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2019,Balance of Payments: Current account (millions of US dollars),-960,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2020,Balance of Payments: Current account (millions of US dollars),"-1,966",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2010,Balance of Payments: Capital account (millions of US dollars),198,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2015,Balance of Payments: Capital account (millions of US dollars),58,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2019,Balance of Payments: Capital account (millions of US dollars),47,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2020,Balance of Payments: Capital account (millions of US dollars),41,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2010,Balance of Payments: Financial account (millions of US dollars),"-1,076",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2015,Balance of Payments: Financial account (millions of US dollars),"-1,781",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2019,Balance of Payments: Financial account (millions of US dollars),-958,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
268,Georgia,2020,Balance of Payments: Financial account (millions of US dollars),"-2,005",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1985,Balance of Payments: Current account (millions of US dollars),"17,994",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1995,Balance of Payments: Current account (millions of US dollars),"-32,191",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2010,Balance of Payments: Current account (millions of US dollars),"196,172",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2015,Balance of Payments: Current account (millions of US dollars),"288,621",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2019,Balance of Payments: Current account (millions of US dollars),"294,407",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2020,Balance of Payments: Current account (millions of US dollars),"274,200",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2021,Balance of Payments: Current account (millions of US dollars),"314,087",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1985,Balance of Payments: Capital account (millions of US dollars),-741,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1995,Balance of Payments: Capital account (millions of US dollars),"-3,120",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2010,Balance of Payments: Capital account (millions of US dollars),"1,615",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2015,Balance of Payments: Capital account (millions of US dollars),-19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2019,Balance of Payments: Capital account (millions of US dollars),-965,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2020,Balance of Payments: Capital account (millions of US dollars),"-6,868",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2021,Balance of Payments: Capital account (millions of US dollars),"-1,644",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1985,Balance of Payments: Financial account (millions of US dollars),"20,714",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,1995,Balance of Payments: Financial account (millions of US dollars),"-37,877",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2010,Balance of Payments: Financial account (millions of US dollars),"123,715",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2015,Balance of Payments: Financial account (millions of US dollars),"259,482",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2019,Balance of Payments: Financial account (millions of US dollars),"208,269",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2020,Balance of Payments: Financial account (millions of US dollars),"251,364",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
276,Germany,2021,Balance of Payments: Financial account (millions of US dollars),"373,060",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
288,Ghana,1985,Balance of Payments: Current account (millions of US dollars),-134,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
288,Ghana,1995,Balance of Payments: Current account (millions of US dollars),-144,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
288,Ghana,2010,Balance of Payments: Current account (millions of US dollars),"-2,747",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
288,Ghana,2015,Balance of Payments: Current account (millions of US dollars),"-2,824",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
288,Ghana,2019,Balance of Payments: Current account (millions of US dollars),"-1,864",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
